seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
31136,2024,5025,A.J. Green,NA,SG,24,2,NBA,MIL,36,335,12,0.626,0.876,0.066,2,10.2,6.2,8.3,0.4,0.5,3.1,16.3,0.6,0.2,0.8,0.108,0.9,-2.2,-1.3,0.1
31137,2024,5026,A.J. Lawson,NA,SG,23,2,NBA,DAL,27,230,12.2,0.558,0.476,0.226,5.2,10,7.6,7.8,1.9,1.1,9.8,19,0.1,0.2,0.3,0.061,-2.2,-1.2,-3.4,-0.1
31138,2024,5027,AJ Griffin,NA,SF,20,2,NBA,ATL,18,132,1.8,0.403,0.733,0.044,1.6,10.2,5.7,3.8,0.4,0.7,11.6,16.1,-0.3,0,-0.3,-0.101,-5.5,-3.4,-8.9,-0.2
31139,2024,4219,Aaron Gordon,NA,PF,28,10,NBA,DEN,49,1555,16.3,0.596,0.189,0.371,8.9,14.4,11.7,13.2,1.2,1.9,10.7,17.8,2.6,1.7,4.2,0.131,0.7,-0.2,0.6,1
31140,2024,4582,Aaron Holiday,NA,PG,27,6,NBA,HOU,51,913,11.6,0.6,0.548,0.145,1.8,9.4,5.6,14.8,1.5,0.4,11.5,16.3,0.9,1,1.9,0.099,-1.5,0.5,-1,0.2
31141,2024,4805,Aaron Nesmith,NA,SF,24,4,NBA,IND,51,1381,13.8,0.651,0.528,0.208,4,12.5,8.2,6.5,1.8,1.9,9.2,16.5,2,0.9,2.9,0.1,0.2,-0.2,0.1,0.7
31142,2024,4900,Aaron Wiggins,NA,SG,25,3,NBA,OKC,51,731,15,0.692,0.374,0.171,5.6,12.4,9.1,8.7,1.6,0.8,11,15.2,1.4,0.8,2.2,0.148,0.6,-0.2,0.4,0.4
31143,2024,5109,Adama Sanogo,NA,PF,21,1,NBA,CHI,3,11,32.6,0.926,0,1,19.9,41.7,30.5,0,0,0,18.8,21.3,0.1,0,0.1,0.284,9,1.7,10.7,0
31144,2024,4688,Admiral Schofield,NA,PF,26,4,NBA,ORL,13,49,2.4,0.444,0.625,0.125,2.3,16.7,9.5,14.2,0,0,19.2,18.4,-0.1,0,-0.1,-0.066,-6.4,-1.7,-8.1,-0.1
31145,2024,3734,Al Horford,NA,C,37,17,NBA,BOS,45,1224,14.2,0.628,0.653,0.072,5.1,20.4,13.1,13.4,1,3.3,10.4,11.2,2.2,2,4.2,0.166,1.3,2.5,3.8,1.8
31146,2024,3982,Alec Burks,NA,SG,32,13,NBA,TOT,46,970,14.3,0.573,0.597,0.32,2,11.6,6.7,10.5,1,0.9,6.8,23.6,1.3,0.3,1.6,0.078,0.9,-2,-1.2,0.2
31147,2024,3982,Alec Burks,NA,SG,32,13,NBA,DET,43,901,14.8,0.581,0.608,0.33,1.9,12,6.8,10.8,1.1,1,6.4,23.2,1.3,0.3,1.6,0.087,1.2,-1.7,-0.5,0.3
31148,2024,3982,Alec Burks,NA,SG,32,13,NBA,NYK,3,69,6.8,0.482,0.474,0.211,3.2,6.5,4.8,6.4,0,0,10.7,28.8,-0.1,0,-0.1,-0.044,-3.9,-5.5,-9.4,-0.1
31149,2024,4806,Aleksej Pokusevski,NA,PF,22,4,NBA,OKC,10,60,2.4,0.338,0.688,0.25,3.9,14.3,9.4,9.8,0.8,1.5,14.5,15,-0.1,0.1,-0.1,-0.067,-7.8,-2.3,-10.1,-0.1
31150,2024,4465,Alex Caruso,NA,SG,29,7,NBA,CHI,47,1274,14.6,0.628,0.605,0.219,4,12,7.9,14.3,2.5,4.4,15.1,14.9,1.5,1.7,3.2,0.121,0.3,2.3,2.5,1.4
31151,2024,5110,Alex Fudge,NA,SF,20,1,NBA,LAL,4,14,-2,0.291,0.333,0.333,16.6,0,7.9,0,0,0,12.7,24.3,-0.1,0,-0.1,-0.224,-10.1,-8.1,-18.1,-0.1
31152,2024,4142,Alex Len,NA,C,30,11,NBA,SAC,22,183,15.8,0.622,0.083,0.417,16.3,23.9,20,15.4,1.6,4.4,24.7,13.2,0.3,0.3,0.5,0.135,-2.1,1.8,-0.3,0.1
31153,2024,5028,Alondes Williams,NA,SG,24,2,NBA,MIA,1,6,-12.7,0,1,0,0,19.2,9.4,0,0,0,50,14.7,-0.1,0,0,-0.374,-17.3,-4.2,-21.4,0
31154,2024,4904,Alperen Şengün,NA,C,21,3,NBA,HOU,53,1723,21.9,0.591,0.12,0.344,9,21.1,15.1,25.9,1.7,2.1,12.5,27,3.2,2.8,5.9,0.165,3,1.7,4.7,2.9
31155,2024,5111,Amari Bailey,NA,PG,19,1,NBA,CHO,3,15,2.1,0.317,0.429,0.286,14.3,0,7.5,9.3,0,0,11.3,25.7,-0.1,0,-0.1,-0.225,-6.4,-6.9,-13.3,0
31156,2024,5112,Amen Thompson,NA,SF,21,1,NBA,HOU,35,672,15.6,0.552,0.182,0.34,9.5,21.4,15.5,18.3,3,2.1,18.1,18.7,0.2,1.3,1.5,0.11,-1.8,2.6,0.8,0.5
31157,2024,4690,Amir Coffey,NA,SF,26,5,NBA,LAC,41,735,11.8,0.711,0.494,0.284,2.2,8.3,5.4,5.5,1.2,0.7,8.1,11.7,1.4,0.5,1.9,0.126,-0.6,-0.3,-0.9,0.2
31158,2024,4064,Andre Drummond,NA,C,30,12,NBA,CHI,55,919,23.2,0.569,0.009,0.44,22,36.2,28.9,4.6,3.3,3.9,13.3,21.6,1.3,2,3.3,0.172,0.5,-0.2,0.3,0.5
31159,2024,5113,Andre Jackson Jr.,NA,SG,22,1,NBA,MIL,45,497,8.7,0.622,0.465,0.128,8.1,12,10.1,10.5,1.2,0.7,18.8,9.6,0.6,0.4,0.9,0.09,-3.3,-0.1,-3.4,-0.2
31160,2024,5029,Andrew Nembhard,NA,PG,24,2,NBA,IND,42,960,11.8,0.559,0.288,0.118,2.9,6.1,4.5,24.7,1.8,0.2,17.3,17.9,0.6,0.3,0.9,0.046,-1.5,-1.2,-2.6,-0.2
31161,2024,4223,Andrew Wiggins,NA,SF,28,10,NBA,GSW,48,1301,11.4,0.529,0.301,0.237,6.5,10.9,8.7,8.4,1,1.7,9.5,20.2,0.4,0.9,1.3,0.047,-2.2,-1.5,-3.7,-0.6
31162,2024,4586,Anfernee Simons,NA,SG,24,6,NBA,POR,31,1039,16.5,0.572,0.482,0.223,1.5,11,6,27.6,0.7,0.3,11.5,28.8,1.1,0.4,1.5,0.069,3,-2.5,0.6,0.7
31163,2024,5114,Anthony Black,NA,PG,20,1,NBA,ORL,50,906,8.6,0.577,0.355,0.344,3.3,10.5,6.8,11.7,1.5,1.7,17.3,12.1,0.3,1.1,1.4,0.073,-3.8,0.9,-2.9,-0.2
31164,2024,4066,Anthony Davis,NA,C,30,12,NBA,LAL,52,1858,25.5,0.617,0.075,0.4,9.9,27.1,18.9,17.1,1.5,6,9.3,26.8,4.7,3.2,7.9,0.204,3.5,1.8,5.3,3.4
31165,2024,4808,Anthony Edwards,NA,SG,22,4,NBA,MIN,52,1818,19.9,0.591,0.345,0.337,2,14.3,8.6,25.2,1.7,1.3,12.8,32.1,2.2,3.2,5.4,0.142,3.1,0.6,3.8,2.7
31166,2024,4809,Anthony Gill,NA,PF,31,4,NBA,WAS,29,163,11.4,0.564,0.255,0.34,8.4,16,12.1,8.9,1.7,3,21.7,17.8,-0.1,0.1,0,0.007,-3.6,-1.3,-5,-0.1
31167,2024,4811,Armoni Brooks,NA,PG,25,3,NBA,BRK,10,104,8.1,0.448,0.696,0.043,7.1,11.8,9.4,6.7,0.5,0.9,6,20.6,-0.1,0,-0.1,-0.025,-2.1,-3.7,-5.8,-0.1
31168,2024,4812,Ashton Hagans,NA,PG,24,2,NBA,POR,4,60,3.7,0.427,0.333,0.167,0,10,4.7,16.1,0.8,1.5,18.9,11.3,-0.1,0,0,-0.034,-8.1,-0.6,-8.7,-0.1
31169,2024,5115,Ausar Thompson,NA,SF,21,1,NBA,DET,54,1298,13.1,0.52,0.207,0.239,9.9,20.6,15.1,10.7,2,3.1,13.5,16.8,0.2,1.2,1.4,0.05,-2.8,0.5,-2.4,-0.1
31170,2024,4906,Austin Reaves,NA,SG,25,3,NBA,LAL,56,1742,15.9,0.619,0.426,0.328,2.5,11.2,7,24.3,1.4,0.5,14.1,20.6,2.7,1.4,4.1,0.114,0.8,-0.4,0.3,1.1
31171,2024,4907,Ayo Dosunmu,NA,SG,24,3,NBA,CHI,53,1349,12.7,0.61,0.423,0.145,2.8,8.4,5.5,12.9,1.5,1.9,11.6,16.2,1.4,1.1,2.5,0.089,-1.1,-0.1,-1.2,0.3
31172,2024,4472,Bam Adebayo,NA,C,26,7,NBA,MIA,45,1555,19.8,0.569,0.016,0.418,7.4,27.8,17.4,20,1.5,2.7,12,25.8,1.7,2.6,4.3,0.134,0.6,1.6,2.2,1.6
31173,2024,5116,Ben Sheppard,NA,SG,22,1,NBA,IND,33,357,7.8,0.502,0.667,0.172,2.2,12,7.1,7.7,2.1,0.2,6.2,13.3,0.1,0.2,0.3,0.036,-4.2,-0.2,-4.4,-0.2
31174,2024,4474,Ben Simmons,NA,PG,27,6,NBA,BRK,12,308,16.4,0.584,0,0.219,9.2,26.8,17.7,34.1,1.4,2.3,26.3,13.3,0.4,0.4,0.8,0.128,-0.4,2.7,2.2,0.3
31175,2024,5030,Bennedict Mathurin,NA,SF,21,2,NBA,IND,52,1325,12.5,0.561,0.308,0.332,4.4,12.9,8.6,9.5,1,0.7,11.7,23.3,0.4,0.4,0.9,0.031,-1.5,-2.5,-4,-0.7
31176,2024,5117,Bilal Coulibaly,NA,SF,19,1,NBA,WAS,53,1426,8.7,0.55,0.41,0.292,3.5,12.9,8.1,8.2,1.5,2.3,16.4,14.1,-0.5,0.8,0.2,0.007,-3.8,-0.5,-4.3,-0.8
31177,2024,3984,Bismack Biyombo,NA,C,31,13,NBA,MEM,30,718,9.9,0.56,0,0.387,8.4,21.2,14.6,10,0.7,4.4,21.4,10.6,0.1,0.9,1,0.07,-4.9,1.6,-3.2,-0.2
31178,2024,5031,Blake Wesley,NA,SG,20,2,NBA,SAS,34,443,11.1,0.553,0.227,0.364,1.9,7.7,4.8,28.1,2,0.8,17.5,14.6,0.3,0.3,0.5,0.058,-4.1,-0.2,-4.2,-0.3
31179,2024,4306,Boban Marjanović,NA,C,35,9,NBA,HOU,9,48,16.3,0.486,0.095,0.286,13.5,35.9,24.7,12.8,0,1.9,7.8,22.8,0,0.1,0.1,0.087,-1.8,-1.7,-3.5,0
31180,2024,4307,Bobby Portis,NA,PF,28,9,NBA,MIL,56,1343,15.8,0.573,0.292,0.157,7.7,23.4,15.8,6.6,1.4,1.3,8,21.3,1.2,1.5,2.8,0.1,-0.9,-1.2,-2,0
31181,2024,4475,Bogdan Bogdanović,NA,SG,31,7,NBA,ATL,53,1534,15.1,0.571,0.598,0.135,2.2,10.3,6.1,13.8,2,0.8,7.4,22.7,2,0.6,2.6,0.08,1.1,-0.8,0.3,0.9
31182,2024,4224,Bojan Bogdanović,NA,PF-SF,34,10,NBA,TOT,30,977,13.7,0.596,0.487,0.243,1.5,10.3,5.8,11.2,1.2,0.4,11.4,24.1,0.5,0.3,0.8,0.039,0.1,-2.4,-2.3,-0.1
31183,2024,4224,Bojan Bogdanović,NA,PF,34,10,NBA,DET,28,921,13.9,0.6,0.487,0.245,1.5,10.1,5.7,11.7,1.2,0.4,11.8,24.4,0.5,0.2,0.7,0.038,0.3,-2.5,-2.2,0
31184,2024,4224,Bojan Bogdanović,NA,SF,34,10,NBA,NYK,2,56,9.9,0.516,0.478,0.217,0,13.9,7,2.6,0.9,1.7,3.8,20,0,0.1,0.1,0.049,-2.4,-1,-3.4,0
31185,2024,4692,Bol Bol,NA,PF,24,5,NBA,PHO,18,158,19.3,0.73,0.261,0.13,9.3,24.5,17.4,8.3,1.2,6.1,15.6,15.8,0.3,0.3,0.6,0.173,0.5,1.5,2,0.2
31186,2024,4908,Bones Hyland,NA,PG,23,3,NBA,LAC,19,251,7.1,0.471,0.533,0.1,1.4,6.1,3.8,18.3,2,0.4,15.5,25.7,-0.5,0.2,-0.3,-0.054,-5,-1.8,-6.8,-0.3
31187,2024,4072,Bradley Beal,NA,SG,30,12,NBA,PHO,30,979,14.8,0.579,0.313,0.206,3.1,11.3,7.5,20.7,1.3,0.7,13.4,24.1,0.7,0.8,1.5,0.074,-0.9,-1.4,-2.3,-0.1
31188,2024,5118,Brandin Podziemski,NA,SG,20,1,NBA,GSW,47,1243,13.5,0.548,0.391,0.148,6.2,17.4,11.9,19.7,1.5,0.6,12.4,16.3,1.4,1.2,2.6,0.099,-0.3,0.4,0.1,0.6
31189,2024,4909,Brandon Boston Jr.,NA,SF,22,3,NBA,LAC,16,119,9.3,0.482,0.345,0.207,6.9,7.4,7.1,5.9,0.8,1.5,7.3,25,-0.1,0.1,0,0.005,-4.9,-3.5,-8.4,-0.2
31190,2024,4379,Brandon Ingram,NA,SF,26,8,NBA,NOP,51,1701,18.2,0.577,0.238,0.303,2.4,14.1,8.3,26.9,1.2,1.7,11.9,27.2,2.3,1.8,4.2,0.118,1.7,-0.4,1.3,1.4
31191,2024,5119,Brandon Miller,NA,SF,21,1,NBA,CHO,48,1508,12.7,0.556,0.433,0.164,3,11.9,7.3,11.2,1.2,1.6,10.3,23,0.1,0.5,0.6,0.018,-1.2,-1.8,-2.9,-0.3
31192,2024,4910,Brandon Williams,1999,PG,24,2,NBA,DAL,12,59,11.7,0.447,0.273,0.5,5.5,7.4,6.5,26.8,0.8,1.5,10.1,21.6,0,0,0,0.025,-1.1,-2.1,-3.2,0
31193,2024,4911,Braxton Key,NA,SF,26,3,NBA,DEN,15,51,13.5,0.482,0.267,0.4,6.6,19.4,13.1,19.9,1.9,0,5.4,15.9,0.1,0.1,0.1,0.122,-1.5,0.6,-0.9,0
31194,2024,5120,Brice Sensabaugh,NA,SF,20,1,NBA,UTA,6,16,6.1,0.383,0.4,0.1,6.9,20.3,13.7,17.9,0,0,8.7,29.6,0,0,0,-0.113,-5.9,-5.6,-11.5,0
31195,2024,3801,Brook Lopez,NA,C,35,16,NBA,MIL,53,1670,15,0.597,0.511,0.169,5.5,13.6,9.7,6.9,0.9,7.1,8,16,2,2,4,0.116,0,1,1,1.3
31196,2024,4594,Bruce Brown,NA,SG-PG,27,6,NBA,TOT,47,1346,11.9,0.561,0.298,0.233,3.3,15,9.1,12,1.7,0.9,10.6,16.5,0.9,0.8,1.8,0.064,-2.1,-0.6,-2.8,-0.3
31197,2024,4594,Bruce Brown,NA,SG,27,6,NBA,IND,33,981,12.1,0.568,0.322,0.261,2.9,15.2,9,12.4,1.7,0.6,10.5,16.6,0.8,0.5,1.4,0.067,-1.8,-0.6,-2.4,-0.1
31198,2024,4594,Bruce Brown,NA,PG,27,6,NBA,TOR,14,365,11.5,0.541,0.233,0.155,4.4,14.6,9.4,11.2,1.7,1.7,10.8,16.3,0.1,0.3,0.4,0.055,-3.1,-0.7,-3.7,-0.2
31199,2024,4695,Bruno Fernando,NA,C,25,5,NBA,ATL,18,161,15.4,0.561,0.059,0.588,10.3,27.9,18.8,5.9,0.9,5.4,11.1,18.4,0.1,0.2,0.3,0.088,-3.1,-0.5,-3.7,-0.1
31200,2024,5032,Bryce McGowens,NA,SG,21,2,NBA,CHO,43,704,9,0.58,0.464,0.315,2.3,10.9,6.4,7.8,1.1,0.5,10.8,14.3,0.3,0.1,0.5,0.032,-3.9,-1.3,-5.2,-0.6
31201,2024,4382,Buddy Hield,NA,SF-SG,31,8,NBA,TOT,56,1492,13.5,0.595,0.682,0.064,2.7,11.3,7,14.6,1.6,1.6,11,18.9,1.4,0.8,2.2,0.072,1.2,-0.7,0.5,0.9
31202,2024,4382,Buddy Hield,NA,SF,31,8,NBA,IND,52,1336,12.9,0.586,0.691,0.064,2.9,11.5,7.2,12.9,1.5,1.8,10.4,18.6,1.1,0.7,1.8,0.063,0.9,-0.8,0.1,0.7
31203,2024,4382,Buddy Hield,NA,SG,31,8,NBA,PHI,4,156,18,0.667,0.615,0.062,1.4,10,5.7,28.9,2.2,0,15.2,21.5,0.3,0.1,0.5,0.15,3.3,0.4,3.7,0.2
31204,2024,4154,CJ McCollum,NA,PG,32,11,NBA,NOP,41,1315,18,0.598,0.542,0.163,2,12.9,7.5,21.3,1.7,2.3,9.2,23.5,2.2,1.6,3.8,0.14,3.1,0.3,3.4,1.8
31205,2024,4912,Cade Cunningham,NA,PG,22,3,NBA,DET,44,1496,15.4,0.539,0.277,0.242,1.3,12.4,6.7,34.6,1.3,0.9,14.9,29.6,0.1,0.6,0.6,0.02,0.6,-1.9,-1.3,0.3
31206,2024,5034,Caleb Houstan,NA,SF,21,2,NBA,ORL,40,596,8.2,0.58,0.929,0.143,4.2,8.1,6.1,5.4,0.8,0.2,7.9,12.9,0.5,0.5,1,0.081,-1.4,-0.9,-2.3,-0.1
31207,2024,4696,Caleb Martin,NA,SF,28,5,NBA,MIA,38,1009,11.3,0.541,0.368,0.181,5.2,14.1,9.6,11.8,1.4,1.1,10.9,17.3,0.3,1.2,1.5,0.07,-2.2,0,-2.1,0
31208,2024,4697,Cam Reddish,NA,SF,24,5,NBA,LAL,35,815,8.4,0.519,0.463,0.224,2.7,8.5,5.7,7.3,2.5,1.2,11.8,13.5,-0.3,0.9,0.6,0.035,-4,1.1,-2.8,-0.2
