season,lg,team,abbreviation,playoffs,g,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
2024,NBA,Atlanta Hawks,ATL,FALSE,55,13300,2397,5144,0.466,756,2097,0.361,1641,3047,0.539,1123,1382,0.813,716,1754,2470,1442,416,247,738,1037,6673
2024,NBA,Boston Celtics,BOS,FALSE,55,13325,2391,4967,0.481,893,2347,0.38,1498,2620,0.572,962,1190,0.808,587,2015,2602,1442,350,357,690,938,6637
2024,NBA,Brooklyn Nets,BRK,FALSE,54,13035,2257,4902,0.46,747,2028,0.368,1510,2874,0.525,860,1133,0.759,631,1769,2400,1448,370,289,678,1033,6121
2024,NBA,Chicago Bulls,CHI,FALSE,55,13400,2292,4904,0.467,648,1796,0.361,1644,3108,0.529,917,1160,0.791,606,1784,2390,1339,423,288,680,1061,6149
2024,NBA,Charlotte Hornets,CHO,FALSE,54,13010,2206,4790,0.461,647,1787,0.362,1559,3003,0.519,808,1026,0.788,546,1676,2222,1343,352,255,744,1030,5867
2024,NBA,Cleveland Cavaliers,CLE,FALSE,53,12770,2267,4698,0.483,709,1964,0.361,1558,2734,0.57,846,1096,0.772,568,1815,2383,1445,404,252,712,984,6089
2024,NBA,Dallas Mavericks,DAL,FALSE,55,13200,2362,4937,0.478,826,2217,0.373,1536,2720,0.565,976,1292,0.755,544,1779,2323,1407,363,247,686,1041,6526
2024,NBA,Denver Nuggets,DEN,FALSE,55,13200,2388,4883,0.489,631,1713,0.368,1757,3170,0.554,860,1137,0.756,610,1816,2426,1575,371,293,694,1018,6267
2024,NBA,Detroit Pistons,DET,FALSE,54,13035,2281,4836,0.472,603,1677,0.36,1678,3159,0.531,930,1196,0.778,609,1751,2360,1430,325,262,835,1189,6095
2024,NBA,Golden State Warriors,GSW,FALSE,53,12870,2311,4871,0.474,802,2107,0.381,1509,2764,0.546,922,1171,0.787,656,1816,2472,1536,353,219,762,1091,6346
2024,NBA,Houston Rockets,HOU,FALSE,54,13085,2244,4861,0.462,648,1845,0.351,1596,3016,0.529,984,1275,0.772,596,1872,2468,1340,405,237,697,1157,6120
2024,NBA,Indiana Pacers,IND,FALSE,56,13440,2622,5163,0.508,763,2003,0.381,1859,3160,0.588,921,1185,0.777,560,1716,2276,1730,435,327,753,1229,6928
2024,NBA,Los Angeles Clippers,LAC,FALSE,53,12745,2281,4622,0.494,697,1766,0.395,1584,2856,0.555,1009,1237,0.816,538,1739,2277,1379,424,277,686,1019,6268
2024,NBA,Los Angeles Lakers,LAL,FALSE,56,13540,2421,4900,0.494,636,1720,0.37,1785,3180,0.561,1074,1385,0.775,459,1932,2391,1596,440,316,772,911,6552
2024,NBA,Memphis Grizzlies,MEM,FALSE,56,13490,2174,4929,0.441,768,2194,0.35,1406,2735,0.514,880,1157,0.761,552,1782,2334,1420,434,345,819,1097,5996
2024,NBA,Miami Heat,MIA,FALSE,55,13225,2183,4719,0.463,684,1841,0.372,1499,2878,0.521,1032,1253,0.824,530,1793,2323,1427,403,173,713,995,6082
2024,NBA,Milwaukee Bucks,MIL,FALSE,56,13515,2468,4998,0.494,795,2122,0.375,1673,2876,0.582,1102,1432,0.77,524,1941,2465,1497,387,291,723,1124,6833
2024,NBA,Minnesota Timberwolves,MIN,FALSE,55,13275,2275,4639,0.49,691,1760,0.393,1584,2879,0.55,1027,1308,0.785,506,1906,2412,1454,413,322,814,1074,6268
2024,NBA,New Orleans Pelicans,NOP,FALSE,55,13225,2360,4829,0.489,665,1763,0.377,1695,3066,0.553,1020,1332,0.766,600,1832,2432,1489,462,264,727,1054,6405
2024,NBA,New York Knicks,NYK,FALSE,55,13200,2292,4906,0.467,713,1936,0.368,1579,2970,0.532,1000,1271,0.787,700,1822,2522,1301,402,213,723,994,6297
2024,NBA,Oklahoma City Thunder,OKC,FALSE,54,13060,2405,4808,0.5,721,1835,0.393,1684,2973,0.566,993,1194,0.832,464,1753,2217,1472,439,360,675,1055,6524
